transaction_id,ingredient_id,change
1,1,30
2,2,30
3,3,30
4,4,30
5,5,30
6,6,30
7,7,30
8,8,30
9,9,30
10,10,30
11,11,30
12,12,30
13,13,30
14,14,30
15,15,30
16,16,30
17,17,30
18,18,30
19,19,30
20,20,30
21,21,30
22,22,30
23,23,30
24,24,30
25,25,30
26,26,30
27,27,30
28,28,30
29,29,30
30,30,30
31,31,30
32,32,30
33,33,30
34,34,30
35,35,30
36,36,30
37,37,30
38,38,30
39,39,30
40,40,30
41,41,30
42,42,30
43,43,30
44,44,30
45,45,30
46,46,30
47,47,30
48,48,30
49,49,30
50,50,30
51,51,30
52,52,30
53,53,30
54,54,30
55,55,30
56,56,30
57,57,30
58,58,30
59,59,30
60,60,30
61,61,30
